фердинанд	ferdinánd
февруари	február
широк	széles
клиенти	ügyfelek
или	vagy
майкрософт	microsoft
крал	király
изчезнал	eltűnt
николай	miklós
1996	1996
фантастичен	fantasztikus
пет	öt
млад	fiatal
даниел	dániel
столичен	fővárosi
крем	krém
активен	aktív
кратък	rövid
густав	gusztáv
1991	1991
1973	1973
1958	1958
симптоми	tünetek
норвегия	norvégia
1942	1942
манчестър	manchester
индийски	indiai
обстоятелства	körülmények
1963	1963
бенедикт	benedek
език	nyelv
американски	amerikai
емил	emil
социален	szociális
африкански	afrikai
три	három
стандарт	szabvány
теми	témák
празник	ünnep
евро	euró
най-много	legfeljebb
футбол	labdarúgás
1500	1500
фридрих	frigyes
ангел	angyal
отговарят	válaszolnak
пита	pite
квартал	negyed
зелен	zöld
седми	hetedik
архитектурен	építészeti
кучета	kutyák
архиепископ	érsek
ефективност	hatékonyság
ренесанс	reneszánsz
македония	macedónia
1907	1907
херцог	herceg
юридически	jogi
1923	1923
държави	államok
разпространение	terjesztés
свети	szent
ислям	iszlám
закон	törvény
документ	dokumentum
мъртъв	halott
араб	arab
издава	kiadja
радомир	radomir
футболист	labdarúgó
назначен	kinevezett
алтернатива	alternatíva
пътува	utazik
мляко	tej
богородица	boldogasszony
стратегия	stratégia
характеристики	jellemzők
калифорния	kalifornia
птица	madár
без	nélkül
употреба	használat
математика	matematika
разговор	beszélgetés
dvd	dvd
антиквар	antikvár
книги	könyvek
оръжия	fegyverek
1992	1992
здраве	egészség
степен	fokozat
конкретен	konkrét
кредит	kredit
2013	2013
1977	1977
философия	filozófia
графиня	grófné
градоначалник	polgármester
смъртен	halálos
1986	1986
издание	kiadás
1945	1945
телефон	telefon
хол	hol
реал	real
90-те	90-es
1913	1913
дунав	duna
ласло	lászló
варга	varga
мексико	mexikó
кристина	krisztina
интерес	érdeklődés
развитие	fejlődés
библиотека	könyvtár
локомотив	mozdony
еднозначно	egyértelműen
преживяване	élmény
1980	1980
религия	vallás
канадски	kanadai
евреи	zsidók
1966	1966
граждански	polgári
политика	politika
кафе	kávé
конфликт	konfliktus
организиран	szervezett
власт	hatalom
публикуване	publikálás
парижки	párizsi
асистент	asszisztens
май	máj
транспорт	transzport
вода	víz
1895	1895
комуникация	kommunikáció
димитър	dimitri
пропаганда	propaganda
1967	1967
сантиметър	centiméter
идеално	ideálisan
октомври	október
учени	tudósok
2018	2018
бъдеще	jövő
сирия	szíria
океан	óceán
британски	british
1916	1916
паул	paul
унгарци	magyarok
епизод	epizód
апартамент	apartman
амин	amin
египетски	egyiptomi
студио	stúdió
1969	1969
възможностите	lehetőségek
е	e
бял	fehér
обекти	objektumok
видим	látható
ха	ha
информация	információ
империя	birodalom
фа	fa
композитор	zeneszerző
xl	xl
търсим	keresünk
торта	torta
1914	1914
1968	1968
борис	borisz
петьофи	petőfi
адвокат	ügyvéd
1998	1998
хладилник	hűtő
телевизионен	televíziós
1939	1939
стихове	versek
1955	1955
основали	alapították
музикант	muzsikus
индекс	index
мандат	mandátum
fog	fog
страница	oldal
математик	matematikus
потребител	felhasználó
политически	politikai
педагогически	pedagógiai
модули	modulok
ботев	botev
чист	tiszta
фондация	alapítvány
цитат	idézet
българи	bolgárok
понеделник	hétfő
издател	kiadó
лампа	lámpa
гръцки	görög
манастир	kolostor
национален	nemzeti
шести	hatodik
норвежки	norvég
науки	tudományok
