selecció	селекция
alcohol	алкохол
gràfica	графика
substitució	замяна
tendència	тенденция
mediterrani	средиземно
tancat	затворен
filipines	филипини
llibre	книга
pell	кожа
avantatges	предимства
esglésies	църкви
monarquia	монархия
1977	1977
http	http
williams	уилямс
ordre	ordre
acusat	обвиняем
ivan	иван
sistema	система
còmic	комикс
rafael	рафаел
oct	oct
animal	животно
medicina	медицина
quart	четвърт
rei	крал
mercats	пазари
desmuntatge	демонтаж
1928	1928
intern	intern
poc	малко
planeta	планета
següent	следващ
regió	регион
protegida	защитена
1951	1951
físic	физик
vanya	ваня
referència	референция
detalls	детайли
agent	агент
metro	метро
ja	ja
privat	частен
ministre	министър
vitamina	витамин
dependència	зависимост
episodis	епизоди
castell	кастел
ernest	ернест
cinquanta	петдесет
1910	1910
poeta	поет
calendari	календар
objectes	обекти
rep	реп
orquestra	оркестър
globus	глобус
perfecta	perfecta
personalitat	личност
campanya	кампания
fenomen	феномен
1880	1880
mínim	минимум
recent	recent
unanimitat	единодушие
danses	танци
nens	деца
post	post
servidor	служител
2012	2012
descendents	потомци
1952	1952
bàsica	базова
mercat	пазар
aliança	алианса
masculí	мъжки
escultures	скулптури
insee	insee
regular	регулярен
moscú	москва
literalment	буквално
americans	американци
eva	ева
marina	морска
1950	1950
darrers	последни
austràlia	австралия
comparació	сравнение
ferro	желязо
1926	1926
continent	континент
paper	хартия
comunal	общински
lo	lo
obert	открит
referent	референт
wi-fi	wi-fi
anunci	анонс
malalties	болести
connectats	свързани
robert	робърт
rellevant	релевантен
metall	метал
càrrec	длъжност
participant	участник
consagrada	посветена
lluita	борба
oceà	океан
nova	нова
professional	професионален
inclosos	включени
integració	интеграция
anglesos	англичани
canals	канали
cervell	мозък
autoritats	авторитети
gravat	гравирано
dibuixos	рисунки
ernst	ернст
venècia	венеция
cooperació	сътрудничество
cantant	певец
guerra	война
normal	нормален
tancar	затварям
magatzem	магазин
pròpia	собствена
energia	енергия
premsa	преса
modificació	модификация
vidin	видин
poesia	поезия
calefacció	отопление
1992	1992
informació	информация
perpinyà	перпинян
1967	1967
torre	torre
fosc	тъмен
italià	италиански
septentrional	северен
2009	2009
anna	анна
consoles	конзоли
idea	идея
comercial	търговски
reproducció	репродукция
britànic	британски
esperança	надежда
aquitània	аквитания
salvador	salvador
retrat	портрет
així	така
suïssa	швейцарска
platja	плаж
deixant	оставящ
retorn	връщане
banda	банда
plans	планове
matemàtiques	математика
ideal	идеален
fòrum	форум
reformes	реформи
saló	салон
un	un
fotografia	фотография
1941	1941
seccions	секции
organitzat	организиран
introducció	въведение
perspectiva	перспектива
mèdica	медицинска
magnitud	магнитуд
petrov	петров
museu	музей
guitarra	китара
acadèmic	академик
temporal	временен
karl	karl
cognom	когномен
sud-oest	юг-запад
super	супер
temperatura	температура
principalment	предимно
minuts	минути
joan	жоан
comoditats	удобства
taules	таблици
popularitat	популярност
1974	1974
català	каталонски
ala	ala
llacs	езера
ajuda	помощ
variacions	вариации
martínez	мартинес
cristina	кристина
única	уникална
estrangers	чужденци
tsar	цар
menys	по-малко
arma	оръжие
disminueix	намалява
geografia	география
kazanlak	казанлък
up	up
propaganda	пропаганда
pacte	пакт
compra	покупка
joguets	играчки
cavalleria	кавалерия
feliç	щастлив
diòcesi	диоцез
temperatures	температури
necessitat	необходимост
ciutadans	граждани
contemporani	съвременен
fase	фаза
julià	юлиян
amant	любовник
parlament	парламент
1958	1958
flota	флота
tema	тема
manual	manual
1982	1982
frac	фрак
elena	елена
seu	seu
comtat	графство
domini	domini
visió	визия
codi	код
sants	санти
adrià	адриан
simon	симон
fronteres	граници
femení	женски
grècia	гърция
tardor	есен
cardona	кардона
forma	форма
afegida	добавена
aroma	аромат
monestir	манастир
original	оригинален
llibres	книги
itàlia	италия
impossible	impossible
ràdio	радио
rus	rus
trajectòria	траектория
garcia	гарсия
avió	самолет
arbres	дървета
2000	2000
nàpols	неапол
influència	влияние
1930	1930
1948	1948
pedra	камък
absolut	абсолютен
1987	1987
