если	if
озеро	lac
логика	logique
префект	préfet
серб	serbe
данные	données
junior	junior
метод	méthode
оксфорд	oxford
упражнение	exercice
станция	station
империя	empire
стекло	verre
свежий	frais
соседи	voisins
информация	information
предложенный	proposé
академия	académie
спасать	sauver
египет	égypte
проход	passage
anti	anti
диски	disques
библия	bible
синдром	syndrome
торонто	toronto
вариант	variante
бассейн	bassin
комплекс	complexe
оперы	opéras
эндемичный	endémique
advance	avance
возможности	possibilités
клетки	cellules
charlie	charlie
нормы	normes
проверять	vérifier
dordogne	dordogne
театр	théâtre
динамика	dynamique
сантьяго	santiago
цветок	fleur
алжир	algérie
цепь	chaîne
переиздание	réédition
говорить	parler
miami	miami
план	plan
альфонс	alphonse
процент	pourcentage
демократический	démocratique
христианство	christianisme
дополнительные	supplémentaires
предварительный	préalable
chansons	chansons
регион	région
пик	pic
уровни	niveaux
английский	anglais
бельгия	belgique
indre	indre
тексты	textes
ассоциирован	associé
князь	kniaz
engagement	engagement
деталь	détail
югославия	yougoslavie
освобождение	libération
скульптура	sculpture
мото	moto
гордон	gordon
топоним	toponyme
современники	contemporains
каролина	caroline
растения	plantes
помощь	aide
коллеги	collègues
рабочие	travailleurs
специфический	spécifique
бернард	bernard
издание	édition
залы	salles
отношения	relations
комментарий	commentaire
геннадий	gennadiy
орбита	orbite
анализ	analyse
век	siècle
разделение	séparation
функции	fonctions
,	,
генерация	génération
онтарио	ontario
supérieure	supérieure
madeleine	madeleine
официальный	officiel
болото	marais
принести	apporter
кислоты	acides
час	heure
лейпциг	leipzig
резолюция	résolution
северный	septentrional
hong	hong
капитан	capitaine
франшиза	franchise
бурбон	bourbon
темы	thèmes
зона	zone
gif	gif
метро	métro
елизавета	élisabeth
друзья	amis
трибунал	tribunal
континент	continent
код	code
императорский	impérial
бесполезный	inutile
глаза	yeux
араб	arabe
перо	plume
юридический	juridique
характер	caractère
мифология	mythologie
операция	opération
дуглас	douglas
филиппины	philippines
тогда	alors
журналист	journaliste
принципы	principes
анонс	annonce
семинар	séminaire
научный	scientifique
способности	capacités
озёра	lacs
мадрид	madrid
любовь	amour
софия	sofia
подготовка	préparation
марио	mario
кабинет	cabinet
отец	père
символ	symbole
монастырь	monastère
иллинойс	illinois
аномалия	anomalie
фауна	faune
репертуар	répertoire
мясо	viande
консервы	conserve
телевидение	télévision
достигать	atteindre
сергей	sergey
слава	gloire
оператор	opérateur
мотор	moteur
коммунист	communiste
партия	parti
скорость	vitesse
аниме	anime
монархия	monarchie
сооружать	construire
репродукция	reproduction
резерв	réserve
консенсус	consensus
культ	culte
вин	vin
израиль	israël
курица	poule
опубликованный	publié
кислота	acide
жанна	jeanne
сервис	service
надежда	espoir
румыния	roumanie
зрители	spectateurs
атмосфера	atmosphère
существование	existence
кредит	crédit
уникальный	unique
преступления	crimes
пребывание	séjour
тысяча	mille
лестница	escalier
explosion	explosion
гитлер	hitler
бегство	fuite
естественно	naturellement
вокзал	gare
студенты	étudiants
стиль	style
дмитриевич	dimitrievitch
robin	robin
япония	japon
солдаты	soldats
эквивалент	équivalent
цветы	fleurs
гражданский	civil
копивио	copivio
ручей	ruisseau
физическое	physique
мусульмане	musulmans
чемпионат	championnat
яковлевич	iakovlevitch
каждый	chacun
индивиду	individu
забастовка	grève
колледж	collège
ничего	rien
минута	minute
номинация	nomination
гамильтон	hamilton
резервы	réserves
карта	carte
индонезия	indonésie
епархия	éparchie
extreme	extrême
порто	porto
турне	tournée
ирина	irina
оригинальный	original
кость	os
конфликт	conflit
alain	alain
ситуация	situation
династии	dynasties
сочи	sotchi
новелла	nouvelle
услуги	services
индустриальный	industriel
статистика	statistique
алкоголь	alcool
бюро	bureau
итальянская	italienne
biografija	biographie
заметить	remarquer
жить	vivre
правый	droitier
продукты	produits
посредник	intermédiaire
курс	cours
открытый	ouvert
молчание	silence
аргентинский	argentin
европейский	européen
ложный	faux
факторы	facteurs
отсутствие	absence
этапы	étapes
растворение	dissolution
созданный	créé
принцесса	princesse
региональный	régional
специально	spécialement
avis	avis
небесный	céleste
счет	compte
газ	gaz
исключительно	exclusivement
пишут	écrivent
бейсбол	baseball
брест	brest
порядок	ordre
экономический	économique
кандидат	candidat
ремикс	remix
муниципалитеты	municipalités
участвовать	participer
министры	ministres
эдмонд	edmond
батальон	bataillon
граждане	citoyens
журналы	journaux
уровень	niveau
коммуникация	communication
актеры	acteurs
талант	talent
роберта	roberta
структура	structure
христианка	chrétienne
минск	minsk
бенжамин	benjamin
квентин	quentin
claude	claude
бульвар	boulevard
местности	localités
эффективный	efficace
цвет	couleur
годовщина	anniversaire
поколения	générations
svoboda	liberté
пирамида	pyramide
трудиться	travailler
независимые	indépendants
сумма	somme
туризм	tourisme
точность	précision
самоубийство	suicide
ядерный	nucléaire
институт	institut
исторические	historiques
помогать	aider
клиент	client
финляндский	finlandais
концентрация	concentration
длительность	durée
ассистент	assistant
дама	dame
стандарт	standard
ноты	notes
братья	frères
университет	université
маркиз	marquis
евро	euro
bordeaux	bordeaux
лингвистика	linguistique
сборник	recueil
доминирование	domination
венесуэла	venezuela
рукописи	manuscrits
могила	mogila
дать	donner
абсолютно	absolument
сеанс	séance
республика	république
google	google
бумага	papier
август	août
мексика	mexique
ресторан	restaurant
революционер	révolutionnaire
параллельно	parallèlement
феликс	félix
германский	germanique
буквально	littéralement
кириллица	cyrillique
тринадцать	treize
bruno	bruno
выбрать	choisir
комната	chambre
национальность	nationalité
мак	mac
экономические	économiques
различие	différence
альбом	album
путешествие	voyage
голос	voix
фотография	photographie
обязанности	devoirs
конкурс	concours
святые	saints
ребенок	enfant
калифорния	californie
значение	signification
графический	graphique
loire	loire
итальянцы	italiens
экономически	économiquement
энергии	énergies
обучение	enseignement
варианты	variantes
локальные	locales
этап	étape
классификация	classification
тюрьма	prison
конфедерация	confédération
ангел	ange
алексис	alexis
враги	ennemis
режим	régime
ставить	mettre
запуск	lancement
стороны	côtés
алтарь	autel
essence	essence
введение	introduction
драматург	dramaturge
иисус	jésus
жанры	genres
пауло	paulo
потребности	besoins
параметр	paramètre
экспедиция	expédition
clan	clan
обсуждать	discuter
булгария	bulgarie
мандат	mandat
нидерландский	néerlandais
культурная	culturelle
электрический	électrique
хотят	veulent
продвижение	promotion
экзамен	examen
знаменитый	célèbre
гренобль	grenoble
chemin	chemin
спортсмен	sportif
музыканты	musiciens
дворец	palais
универсальная	universelle
осужденный	condamné
возрождение	renaissance
командование	commandement
власть	pouvoir
харьков	kharkov
логотип	logo
православный	orthodoxe
секунда	seconde
ответственный	responsable
джейсон	jason
jpg	jpg
колумбия	colombie
литературный	littéraire
восьмой	huitième
равенство	égalité
здравствуй	bonjour
месторасположение	emplacement
жюри	jury
darkgrey	darkgrey
монпелье	montpellier
принцип	principe
генералы	généraux
rotation	rotation
зеленый	vert
дверь	porte
дневник	journal
surveillance	surveillance
километров	kilomètres
комиссар	commissaire
средневековая	médiévale
построенный	construit
христос	christ
республиканец	républicain
белград	belgrade
кадр	cadre
хотеть	vouloir
враг	ennemi
бригада	brigade
техас	texas
сокорро	socorro
martin	martin
сторона	côté
хронология	chronologie
свет	lumière
рельеф	relief
товары	marchandises
послать	envoyer
евгений	evgueni
сотрудничество	coopération
регулярная	régulière
плакат	affiche
миллион	million
chat	chat
хоккей	hockey
анжу	anjou
аквитания	aquitaine
телефон	téléphone
туннель	tunnel
андреевич	andreïevitch
литература	littérature
тема	thème
загруженный	chargé
читатель	lecteur
тренеры	entraîneurs
роза	rose
каледония	calédonie
bbc	bbc
математики	mathématiciens
реклама	publicité
акты	actes
пассажиры	passagers
трипл	triple
климат	climat
владельцы	propriétaires
император	empereur
кухня	cuisine
каталог	catalogue
выставка	exposition
южный	southern
машина	machine
лучше	mieux
максимум	maximum
философ	philosophe
ветвь	branche
пятьдесят	cinquante
математик	mathématicien
isbn	isbn
принятый	accepté
выражение	expression
кузен	cousin
participation	participation
эрик	éric
duo	duo
латинский	latin
работают	travaillent
папа	papa
стефан	stéphane
сервер	serveur
кафе	café
рейх	reich
татьяна	tatiana
сделайте	faites
обмен	échange
объяснять	expliquer
серии	séries
пятница	vendredi
риск	risque
улучшение	amélioration
женщина	femme
мануэль	manuel
волк	loup
конкретно	concrètement
конференции	conférences
оценка	évaluation
португалец	portugais
служить	servir
федерации	fédérations
потенциал	potentiel
тони	toni
сестра	sœur
семёнович	semionovitch
влюбленный	amoureux
плотность	densité
серия	série
лиги	ligues
академии	académies
flora	flore
ian	ian
brun	brun
римский	romain
марш	marche
равновесие	équilibre
потомки	descendants
предыдущий	précédent
игроки	joueurs
вилла	villa
канадский	canadien
драконы	dragons
созвездие	constellation
лицензия	licence
вашингтон	washington
иллюстрация	illustration
комиссия	commission
французский	français
ученик	élève
барон	baron
форум	forum
инициатива	initiative
готический	gothique
бюллетень	bulletin
мощный	puissant
вероятный	probable
провинция	province
романтический	romantique
этюд	étude
испанский	espagnol
собака	chien
галерея	galerie
хорватия	croatie
вдова	veuve
роль	rôle
болезнь	maladie
україна	ukraine
греция	grèce
молодые	jeunes
японская	japonaise
этаж	étage
рано	tôt
обычно	habituellement
соль	sel
участники	participants
новые	nouveaux
студент	étudiant
пятнадцать	quinze
rgb	rgb
константинович	constantinovitch
диск	disque
собственность	propriété
адам	adam
епископ	évêque
сестры	sœurs
портал	portail
годовой	annuel
феномен	phénomène
святилище	sanctuaire
доктор	docteur
католики	catholiques
колония	colonie
библиотеки	bibliothèques
церковь	église
компания	compagnie
microsoft	microsoft
регионы	régions
динамо	dynamo
космос	cosmos
африка	afrique
биографический	biographique
чикаго	chicago
цивилизация	civilisation
доллары	dollars
кардинал	cardinal
победы	victoires
специализированный	spécialisé
серебро	argent
федеральный	fédéral
путешественники	voyageurs
правило	règle
рыба	poisson
johann	johann
финалист	finaliste
нельсон	nelson
канада	canada
королева	reine
ричард	richard
поведение	comportement
лауреат	lauréat
origines	origines
новый	nouveau
телесериал	télésérie
hervé	hervé
оливье	olivier
совесть	conscience
\frac	\frac
камерун	cameroun
программа	programme
медаль	médaille
красивый	beau
крыло	aile
умереть	mourir
элемент	élément
изученный	étudié
играют	jouent
солнце	soleil
✉	✉
временно	temporairement
конгресс	congrès
приобретение	acquisition
сержант	sergent
ирландия	irlande
население	population
салон	salon
сирия	syrie
фильмы	films
xv	xv
резиденция	résidence
мрамор	marbre
бюджет	budget
листья	feuilles
эпоним	éponyme
лошади	chevaux
инвентарь	inventaire
полуостров	péninsule
петербург	pétersbourg
политика	politique
церемония	cérémonie
уголь	charbon
технология	technologie
токио	tokyo
ryan	ryan
кампании	campagnes
модифицированный	modifié
лукас	lucas
административно	administrativement
вероятно	vraisemblablement
фасад	façade
отвечать	répondre
contributions	contributions
звезда	étoile
иллюстрации	illustrations
хроника	chronique
люблин	lublin
платформа	plateforme
царствование	règne
савойя	savoie
сигнал	signal
коммерческая	commerciale
результат	résultat
шампанское	champagne
активный	actif
собственно	proprement
этажи	étages
стихотворение	poème
планеты	planètes
brunswick	brunswick
строительство	construction
симон	simon
минор	mineur
шеф	chef
уважение	respect
потерянный	perdu
мельница	moulin
купол	dôme
леон	léon
исполнитель	exécutant
олег	oleg
аргументы	arguments
руины	ruines
автомобиль	automobile
хуже	pire
генетика	génétique
жертва	victime
наделённый	doté
кастилия	castille
организация	organisation
демарш	démarche
жертвы	victimes
лаборатории	laboratoires
актуальный	actuel
дебит	débit
современник	contemporain
клип	clip
честь	honneur
гитарист	guitariste
запись	enregistrement
безопасность	sécurité
испания	espagne
атлетика	athlétisme
пираты	pirates
административный	administratif
географии	géographies
масло	huile
дисней	disney
opus	opus
альпы	alpes
kevin	kevin
военный	militaire
регби	rugby
упоминание	mention
ритм	rythme
порт	port
дизайн	design
маленький	petit
формулы	formules
организованный	organisé
роланд	roland
четверть	quart
нос	nez
фильм	film
профессионалы	professionnels
энергия	énergie
пляж	plage
фрукты	fruits
жанр	genre
проходящий	passant
uns	uns
определять	déterminer
фёдорович	fiodorovitch
баптист	baptiste
исполнители	exécutants
кантоны	cantons
марс	mars
совет	conseil
уважать	respecter
химия	chimie
платформы	plateformes
музыкант	musicien
герцог	duc
xls	xls
экватор	équateur
предмет	objet
вопросы	questions
фраза	phrase
трудность	difficulté
парламент	parlement
спасибо	merci
прованс	provence
важность	importance
jr	jr
протокол	protocole
фразы	phrases
неизвестная	inconnue
депутат	député
традиционный	traditionnel
jerry	jerry
географический	géographique
отъезд	départ
фердинанд	ferdinand
вкус	goût
писатель	écrivain
альбомы	albums
семья	famille
телесериалы	téléséries
enciklopedija	encyclopédie
мальчики	garçons
газета	gazette
купе	coupe
легкий	léger
организм	organisme
воль	vol
парк	parc
госпиталь	hôpital
зал	salle
мот	mot
сфера	sphère
реформы	réformes
монах	moine
iso	iso
запланированный	prévu
магазин	magasin
частный	privé
транспорты	transports
утверждение	affirmation
изучать	étudier
комический	comique
дружба	amitié
константинополь	constantinople
норма	norme
юлия	julia
домены	domaines
jeff	jeff
голливуд	hollywood
галло	gallo
фото	photo
jimmy	jimmy
джонсон	johnson
археология	archéologie
полк	régiment
реформа	réforme
николя	nicolas
образование	education
королевство	royaume
спутник	satellite
анна	anna
революция	révolution
бот	bot
писа́ть	écrire
сеть	réseau
possible	possible
норвежский	norvégien
наука	science
реставрация	restauration
европейцы	européens
июнь	juin
история	histoire
пилоты	pilotes
воля	volonté
контроль	contrôle
сценарист	scénariste
вооружение	armement
синий	bleu
nancy	nancy
слова	mots
снег	neige
армия	armée
профессия	profession
автономия	autonomie
текст	texte
секс	sexe
трофей	trophée
бразилия	brésil
спорт	sport
dave	dave
жизнь	жизнь
гастон	gaston
видимые	visibles
профессор	professeur
франция	france
раненый	blessé
серьезный	sérieux
стокгольм	stockholm
социальный	social
интеграция	intégration
antiquity	antiquité
минуты	minutes
христианский	chrétien
кризис	crise
характеристики	caractéristiques
лиссабон	lisbonne
медицина	médecine
теории	théories
оккупировать	occuper
макс	max
география	géographie
эксперименты	expériences
следующий	suivant
мур	mur
продукт	produit
мирный	pacifique
георгия	géorgie
поиск	recherche
корабли	navires
исчезнувший	disparu
астероид	astéroïde
военные	militaires
астероиды	astéroïdes
базилика	basilique
социалист	socialiste
благоприятный	favorable
министерство	ministère
условия	conditions
андерсон	anderson
предприятия	entreprises
глубина	profondeur
канадцы	canadiens
chili	chili
расстояние	distance
четвёртый	quatrième
орфография	orthographe
секретарь	secrétaire
тридцать	trente
франк	franc
частично	partiellement
ламберт	lambert
чемпионка	championne
программирование	programmation
волны	vagues
турк	turc
суббота	samedi
полезный	utile
крепость	forteresse
rayon	rayon
вариация	variation
тенденция	tendance
фонд	fond
здание	bâtiment
карьеры	carrières
сердца	cœurs
лаборатория	laboratoire
октябрь	octobre
потерять	perdre
острова	îles
дополнительный	supplémentaire
независимая	indépendante
схема	schéma
кембридж	cambridge
консерватор	conservateur
конституция	constitution
колодец	puits
мечта	rêve
тяжёлый	lourd
соответствие	correspondance
переговоры	négociations
посольство	ambassade
productions	productions
ирландский	irlandais
сценарий	scénario
