undecided	unentschieden
wing	flügel
sprachen	sprachen
scientifically	wissenschaftlich
brazil	brasilien
augsburg	augsburg
runner	läufer
analog	analog
lost	verloren
one	eins
improvement	verbesserung
meat	fleisch
plan	plan
prices	preise
zeichnungen	zeichnungen
girlfriend	freundin
writings	schriften
portland	portland
terminal	terminal
offensive	offensiv
marx	marx
meter	meter
click	klick
biography	biografie
moritz	moritz
reserves	reserven
process	prozess
inventor	erfinder
abo	abo
plus	plus
jordan	jordan
kreise	kreise
states	staaten
bulgarian	bulgarisch
pianist	pianist
night	nacht
more	mehr
lowest	niedrigster
bureau	büro
strasbourg	straßburg
guitar	gitarre
aspect	aspekt
this	dieser
phase	phase
gilbert	gilbert
mississippi	mississippi
between	between
barry	barry
population	bevölkerung
mio	mio
and	und
zdf	zdf
houston	houston
surroundings	umgebung
downtown	downtown
soldier	soldat
encyclopedia	enzyklopädie
self	selbst
million	million
resulting	resultierend
harald	harald
clubnat	clubnat
walter	walter
extra	extra
rocky	felsig
creator	schöpfer
mills	mühlen
shield	schild
considerable	beträchtlich
published	publiziert
report	bericht
reduced	reduziert
citizen	staatsbürger
pakistani	pakistanisch
mario	mario
hunt	jagd
digital	digital
matthew	matthäus
acceptable	akzeptabel
past	vergangenheit
spanish	spanisch
commentary	kommentar
thank	danke
bush	busch
weblinks	weblinks
systematics	systematik
copyright	urheberrecht
restaurant	restaurant
subject	subjekt
petersburg	petersburg
goethe	goethe
marcel	marcel
flowers	blumen
croatia	kroatien
possibility	möglichkeit
rocket	rakete
scene	szene
horn	horn
aufl	aufl
ross	ross
independent	unabhängig
components	bestandteile
ministers	ministers
hair	haar
kansas	kansas
adjacent	adjacent
favor	favor
minority	minderheit
abilities	fähigkeiten
methods	methoden
schmidt	schmidt
full	voll
johnny	johnny
nations	nationen
finally	schliesslich
effect	wirkung
hanau	hanau
events	ereignisse
brigade	brigade
montreal	montreal
trat	trat
sieger	sieger
cultural	kulturell
juli	juli
fan	fan
musical	musikalisch
options	optionen
abraham	abraham
trainer	trainer
universities	universitäten
darin	darin
lied	lied
clubs	clubs
elbe	elbe
guardian	vormund
video	video
chronicle	chronik
obligated	verpflichtet
inscription	inschrift
competitions	wettbewerbe
nebraska	nebraska
unesco	unesco
colleges	kollegien
magdeburg	magdeburg
intelligence	intelligenz
brisbane	brisbane
saskatchewan	saskatchewan
forest	wald
mission	mission
editor	redakteur
touring	touring
block	block
warfare	kriegsführung
royal	königlich
twice	zweimal
succession	nachfolge
beach	strand
times	zeiten
private	privat
who	wer
insofar	insofern
abfluss	abfluss
suddenly	plötzlich
programming	programmierung
imperial	kaiserlich
poem	gedicht
markus	markus
nine	neun
question	frage
bears	bären
jersey	jersey
norfolk	norfolk
thailand	thailand
summary	zusammenfassung
john	john
invasion	invasion
kevin	kevin
album	album
component	bestandteil
needs	bedürfnisse
archaeological	archäologisch
days	tage
technical	technisch
noble	adelig
revolution	revolution
ulrich	ulrich
project	projekt
mass	masse
organisations	organisationen
interpretation	interpretation
class	klasse
scholars	gelehrten
christmas	weihnachten
friedrich	friedrich
spitze	spitze
jahre	jahre
exposure	exposure
worker	arbeiter
reality	wirklichkeit
ober	ober
soldaten	soldaten
erfurt	erfurt
summer	sommer
cardinals	kardinäle
income	einkommen
zwei	two
gary	gary
culture	kultur
dar	dar
race	rasse
einziger	einziger
orange	orange
daniel	daniel
horses	pferde
resistance	widerstand
types	typen
chancellor	kanzler
advantage	vorteil
medium	medium
india	indien
knew	wusste
equipped	ausgestattet
hut	hütte
communist	kommunist
swiss	schweizer
canton	kanton
jahren	jahren
interesting	interessant
comparison	vergleichung
sucht	sucht
islam	islam
brazilian	brasilianisch
games	spiele
alexander	alexander
continuation	fortsetzung
spring	frühling
ryan	ryan
brain	gehirn
