führer	вождь
erfurt	эрфурт
nikolaus	nikolay
gewinn	выигрыш
einschränkungen	ограничения
gustav	gustav
saal	зал
rumänien	румыния
fakt	факт
richtungen	направления
premiere	премьера
einrichtung	устройство
grafschaft	графство
halbinsel	полуостров
formierung	формирование
nikolajewna	николаевна
ring	кольцо
markt	рынок
ach	ах
voraussetzungen	предпосылки
idee	идея
nominierungen	номинации
dmitrijewitsch	дмитриевич
haben	иметь
rathaus	ратуша
reaktion	реакция
eingeführt	введенный
jan	ян
prozess	процесс
übersetzung	перевод
brüder	братья
angst	страх
ministerium	министерство
münster	мюнстер
zeiten	времена
umbenennen	переименовать
warnung	предупреждение
regional	региональный
sturm	штурм
eduard	эдуард
feb	feb
papa	папа
themen	темы
besuchte	посетил
problem	проблема
gewinnen	выигрывать
bewegungen	движения
interessiert	интересует
aufmerksamkeit	внимание
tirol	тироль
sänger	певец
geschaffen	созданный
mai	май
schleswig	шлезвиг
zusammenarbeit	сотрудничество
anfrage	запрос
zerstörung	уничтожение
bewegung	движение
spam	спам
einstellung	настройка
aktiv	активный
drehbuchautor	сценарист
admiral	адмирал
arthur	артур
aufbau	aufbau
fernsehen	телевидение
regelmäßig	регулярно
komitee	комитет
polnisch	польский
severa	севера
kontakt	контакт
initiative	инициатива
mehr	больше
schule	школа
wiederherstellung	восстановление
unterstützung	поддержка
österreichische	австрийская
kirche	церковь
logo	логотип
sotschi	сочи
verloren	потерянный
zone	зона
ausgabe	выпуск
formel	формула
unterschrift	подпись
museum	музей
gast	гость
mercedes	мерседес
ukrainische	украинская
sonne	солнце
möglichkeiten	возможности
funktioniert	функционирует
baron	барон
buenos	buenos
sofia	софия
begründung	обоснование
atlas	атлас
auge	глаз
maria	мария
geschichte	история
wahrscheinlich	вероятно
licht	свет
marathon	марафон
dieser	этот
abtei	аббатство
freundschaft	дружба
meyer	meyer
westlich	западный
venedig	венеция
mensch	человек
verantwortung	ответственность
alt	старый
theorie	теория
lieder	lieder
praktisch	практический
microsoft	microsoft
szenario	сценарий
oblast	oblast
dorthin	туда
großbritannien	великобритания
wiktorowitsch	викторович
johnson	джонсон
roman	рома́н
athen	афины
automatisch	автоматически
zufällig	случайный
vandalismus	вандализм
oskar	оскар
trainer	тренер
ereignisse	события
geschäft	бизнес
ökonomisch	экономически
kurz	короткий
text	текст
journalisten	журналисты
prinzipien	принципы
versammlungen	собрания
hannover	ганновер
bruder	брат
münchen	мюнхен
details	подробности
thüringen	тюрингия
schwierig	трудный
universität	университет
mündung	устье
söhne	сыновья
katalog	каталог
abgeordneter	депутат
folgen	следовать
tatjana	татьяна
kirill	кирилл
aspekte	аспекты
tochter	дочь
bischof	епископ
argentinien	аргентина
silber	серебро
mecklenburg	мекленбург
analog	аналоговый
verbesserung	улучшение
organisation	организация
süd	юг
kindheit	детство
sagte	сказал
niederlande	нидерланды
eltern	родители
nacht	ночь
jagd	охота
acht	восемь
kampf	бой
ingenieur	инженер
dirigent	дирижер
dresdner	дрезденский
zonen	зоны
generationen	поколения
integriert	интегрированный
mädchen	девочка
notwendig	необходимый
schweizer	швейцар
bücher	книги
eberhard	эберхард
professor	профессор
richtung	направление
entsprechen	соответствовать
nördlich	северный
zdf	zdf
mario	марио
nation	нация
szene	сцена
pik	пик
tatsächlich	фактически
bank	банк
turm	башня
jurist	юрист
alexejewitsch	алексеевич
natur	природа
schwarz	чёрный
firma	фирма
freundin	подруга
politik	политика
bernd	бернд
eigenschaft	свойство
verwaltung	администрация
ball	мяч
zeit	время
flora	flora
argumente	аргументы
funktionen	функции
heute	сегодня
rahmen	рамка
freunde	друзья
meter	метр
zellen	клетки
südlicher	южный
bürger	гражданин
oberliga	оберлига
victoria	виктория
schild	щит
unser	наш
gitarre	гитара
wohnung	квартира
beiträge	beiträge
nikolai	николай
überblick	обзор
material	материал
hände	руки
semjonowitsch	семёнович
allgemeinen	allgemeinen
vollständig	полностью
motoren	моторы
wittenberg	виттенберг
erscheinungen	явления
urteil	суждение
schlag	удар
inneres	внутреннее
wolf	волк
junioren	юниоры
verbrechen	преступление
ausgestattet	укомплектован
regensburg	регенсбург
markus	маркус
garten	сад
ideen	идеи
chronik	хроника
krasnaja	красная
morgen	утро
springer	прыгун
weiß	белый
zufall	случай
blätter	листья
hafen	гавань
woiwodschaft	воеводство
kärnten	каринтия
wissenschaftlich	научный
versuch	опыт
antwort	ответ
europa	европа
bahnhof	вокзал
warum	почему
lehre	учение
nummer	номер
formulierung	формулировка
gruppe	группа
preisträger	лауреат
wissen	знать
unklar	неясный
projekt	проект
imho	imho
munizipalität	муниципалитет
fähigkeiten	способности
usd	usd
genauer	точнее
jerusalem	иерусалим
amt	амт
jetzt	сейчас
prinz	принц
kaufmann	купец
erzbischof	архиепископ
kandidat	кандидат
anweisungen	указания
trat	трат
stadion	стадион
nord	север
sohn	сын
neutral	нейтральный
geschickt	умелый
negativ	отрицательный
schwerin	шверин
erweiterte	erweiterte
edits	edits
karten	карты
nominierung	номинация
komponist	композитор
stahl	сталь
traditionell	традиционный
kasan	казань
psychologie	психология
sicherheit	безопасность
erfinder	изобретатель
diskussion	дискуссия
valentin	валентин
meldete	сообщил
dvd	dvd
jedem	каждому
gesundheit	здоровье
hamburger	гамбургер
eishockey	хоккей
glaube	вера
jugoslawien	югославия
maschine	машина
bester	лучший
monat	месяц
höhe	высота
gesagt	сказано
darmstadt	darmstadt
untersuchung	исследование
agentur	агентство
hitler	гитлер
polizei	полиция
verstehen	понимать
gelb	жёлтый
verbreitet	распространенный
vorsitzender	председатель
produktion	production
elemente	элементы
verhandlungen	переговоры
dollar	доллар
öffentlichkeit	общественность
euro	евро
prozesse	процессы
porträt	портрет
letzter	последний
beziehungen	beziehungen
albert	альберт
ordnung	порядок
einfluss	влияние
befehl	приказ
career	карьера
geschwindigkeit	скорость
oberster	верховный
oberfläche	поверхность
schatten	тень
magazin	магазин
zustand	состояние
lösungen	решения
unmittelbar	непосредственно
litauen	литвы
unternehmen	предприятие
unabhängigen	независимых
sultan	султан
eroberung	завоевание
infanterie	пехота
deswegen	потому
ergebnisse	результаты
zuschauer	зритель
effekt	эффект
musiker	музыкант
aktivitäten	активности
kritiker	критик
legende	легенда
sonntag	воскресенье
bevölkerung	население
philosophie	философия
demokratie	демократия
stein	камень
simon	симон
völker	народы
internet	интернет
minimum	минимум
khan	хан
imperium	империя
qualifikation	квалификация
abenteuer	приключение
existieren	существовать
boston	бостон
punkt	пункт
israel	израиль
gordon	gordon
washington	вашингтон
toronto	торонто
wachstum	рост
schaden	ущерб
gefahr	опасность
sowjetisch	советский
kopenhagen	копенгаген
teilnehmer	участник
erzählungen	рассказы
ökonomie	экономика
leopold	леопольд
gestern	вчера
baum	древо
einverstanden	согласен
druck	печать
finnland	финляндия
farbe	цвет
geteilt	разделенный
ägypten	египет
exemplare	экземпляры
elisabeth	елизавета
frank	франк
spezialist	специалист
bielefeld	билефельд
seite	страница
wissenschaftliche	научная
mathematik	математика
erworben	приобретенный
francesco	франческо
armee	армия
dritte	третья
kulturen	культуры
emil	эмиль
kasachstan	казахстан
portugal	португалия
abraham	авраам
korea	корея
komödie	комедия
stärker	сильнее
digital	цифровой
blues	блюз
kontrolle	контроль
kommandierender	командующий
marx	маркс
handel	торговля
wilhelm	вильгельм
nürnberger	нюрнбергский
geschlossen	закрытый
mächtigkeit	мощность
weimarer	веймарский
linz	линц
brandenburg	бранденбург
argumentation	аргументация
charakteristiken	характеристики
usa	usa
beschäftigt	занятый
grün	зеленый
martin	martin
friedrich	фридрих
chance	шанс
mitarbeiter	сотрудник
elektrische	электрическая
kreise	круги
damen	дамы
schlesien	силезия
klavier	пианино
dramaturg	драматург
kamera	камера
mog	мог
verantwortlich	ответственный
enthält	содержит
flucht	бегство
föderation	федерация
verhindern	препятствовать
theorien	теории
harald	harald
verlängerung	удлинение
junior	юниор
fussballspieler	футболист
ukas	указ
enthalten	содержать
sechs	шесть
griechenland	греция
uefa	uefa
prüfung	проверка
magdeburg	магдебург
nichts	ничто
senat	сенат
gegebenes	данное
kurs	курс
symbol	символ
organisationen	организации
ausgaben	расходы
kontext	контекст
umleitung	перенаправление
moment	момент
plattform	платформа
aufzeichnung	запись
auflage	auflage
ständig	постоянно
trio	трио
medizinischen	медицинских
benedikt	бенедикт
basel	базель
kopf	голова
synagoge	синагога
jena	jena
wissenschaftler	ученый
enthalpie	энтальпия
zarentum	царство
himmel	небо
beschädigt	поврежден
früher	раньше
prinzessin	принцесса
wusste	знал
oper	опера
körper	тело
rgb	rgb
fenster	окно
philadelphia	филадельфия
bruno	бруно
schritt	шаг
anton	антон
italienisch	итальянский
lang	длинный
pfalz	pfalz
braun	braun
wladimir	влади́мир
millimeter	миллиметр
zentral	центральный
insel	остров
radio	радио
revolution	революция
provinz	провинция
anwalt	адвокат
professur	профессура
lon_deg	lon_deg
hauptstadt	столица
millionen	миллионы
geographische	географическое
administrator	администратор
heinrich	гейнрих
liter	литр
bronze	бронза
valentina	валентина
liga	лига
bundesliga	бундеслига
vereinigung	объединение
funktion	функция
sebastian	себастьян
qualitäten	качества
herzog	герцог
bestimmt	определенный
selbst	сам
server	сервер
wollten	хотели
ikonen	иконы
erzählung	рассказ
größe	величина
winter	зима
abwesenheit	отсутствие
aufstand	восстание
nassau	nassau
hauptmann	гауптман
veranstaltung	мероприятие
kunden	клиенты
expedition	экспедиция
douglas	дуглас
kontinentale	континентальный
produzierte	производил
identität	идентичность
verurteilt	осужден
absolut	абсолют
gesellschaft	общество
interessen	интересы
generation	поколение
fischer	рыбак
irland	ирландия
wächst	растёт
html	html
luxemburg	люксембург
pflege	уход
regie	режиссура
verfolgung	преследование
hartmann	hartmann
schneider	шнайдер
überschrift	заголовок
phase	фаза
orchester	оркестр
menge	множество
ausstellung	выставка
url	url
turnier	турнир
voll	полный
dnepr	днепр
erweiterung	расширение
graf	граф
campus	кампус
santa	santa
vorlesungen	лекции
status	статус
beschreibung	описание
vermeiden	избегать
hektar	гектар
reise	путешествие
nominiert	номинированный
nationalsozialismus	нацизм
zürich	цюрих
vier	четыре
grigori	григорий
episode	эпизод
gleichzeitig	одновременно
netz	сеть
golf	гольф
standard	стандарт
stufe	ступень
suche	поиск
kommunikation	коммуникация
unternehmer	предприниматель
bulgarien	булгария
schweden	шведы
wolfgang	вольфганг
eindruck	впечатление
ivanov	иванов
und/oder	и/или
opfer	жертва
offizier	офицер
relevant	relevant
aktion	акция
produziert	производит
arnold	арнольд
wein	вин
schwer	тяжёлый
tourismus	туризм
dokumente	документы
olympischer	олимпийский
konzept	концепт
operation	операция
anime	аниме
erwarten	ожидать
versuchen	попробовать
aleksey	алексей
johnny	джонни
straße	улица
staat	государство
hamilton	гамильтон
kriege	войны
wikimedia	викимедиа
folgte	следовал
verfassung	конституция
kriterium	критерий
wagner	вагнер
korrekt	корректный
manfred	манфред
hören	слушать
durchgehen	пройти
angebot	предложение
maximal	максимальный
bundestag	бундестаг
stepanowitsch	степанович
gedicht	стихотворение
reformation	реформация
innerer	внутренний
soziologie	социология
vögel	птицы
betrachten	рассматривать
virginia	вирджиния
frieden	мир
mechanismus	механизм
wiki	вики
teilweise	частично
einheit	einheit
erste	первая
schriftsteller	писатель
erde	земля
konzerte	концерты
verbindung	соединение
bremen	бремен
klub	клуб
staatsangehörigkeit	гражданство
wort	слово
biografie	biografija
systematik	систематика
konzert	концерт
kardinal	кардинал
wille	воля
bischöfe	епископы
arzt	врач
minute	минута
meinem	моему
dortmund	дортмунд
stunde	час
kapitän	капитан
interesse	интерес
other	другой
james	джеймс
wappen	герб
angepasst	приспособленный
eigentum	собственность
thailand	таиланд
kategorie	категория
benjamin	бенджамин
kritisch	критический
physiker	физик
alles	все
ursula	урсула
krankenhaus	госпиталь
strukturen	структуры
essen	ешь
archäologie	археология
werner	вернер
super	супер
inkubator	инкубатор
saarbrücken	saarbrücken
finally	наконец
kapelle	капелла
alfred	альфред
