hagyni	deixar
üveg	vidre
készíteni	preparar
walter	walter
tulajdon	propietat
kolostor	monestir
zászló	bandera
képregény	còmic
galícia	galícia
virág	flor
leírni	descriure
lyuk	forat
ásvány	mineral
boldog	feliç
szolnok	solsona
szocialista	socialista
feltételek	condicions
igazság	justícia
1921	1921
ifjúság	joventut
krém	crema
végleges	definitiu
buddhista	budista
1877	1877
amszterdam	amsterdam
hosszúság	longitud
szíria	síria
1872	1872
1881	1881
1932	1932
szabályozás	regulació
próbálni	provar
tanfolyamok	cursos
oldid	oldid
virtuális	virtual
labdarúgó	futbolista
játék	joc
mozgalmak	moviments
beiratkozás	inscripció
győr	győr
kiadás	edició
lakos	habitant
értelmezés	interpretació
nyelvek	llengües
belül	dins
kongresszus	congrés
linux	linux
kortárs	contemporani
kedvenc	favorit
fejlődés	desenvolupament
növekedés	creixement
frakk	frac
pista	pista
gyilkosság	assassinat
barát	amic
dzsessz	jazz
termékek	productes
felhasználók	usuaris
telefon	telèfon
királynő	reina
portugál	portuguès
sabadell	sabadell
bármilyen	qualsevol
hal	hal
kritikák	crítiques
tíz	deu
párizsi	parisenc
abba	abba
felnőtt	adult
életrajz	biografia
élni	viure
karácsony	nadal
hollywood	hollywood
szegénység	pobresa
átjárás	trànsit
bevezetni	introduir
íz	gust
ajánlott	recomanat
aktualitás	actualitat
jenő	jenő
1971	1971
kalifornia	califòrnia
modern	modern
pohár	copa
nyolc	vuit
102	102
1900	1900
kommentálni	comentar
gimnázium	gimnàs
tárgyak	objectes
japán	japonès
ismeretek	coneixements
videó	vídeo
dalok	cançons
fordítani	traduir
kiállítás	exposició
101	101
1880	1880
elkerülni	evitar
matematika	matemàtiques
lehetőségek	oportunitats
gyakran	freqüentment
ágy	llit
szentek	sants
pontosan	puntualment
1911	1911
északnyugat	nord-oest
mot	mot
fájdalom	dolor
te	te
városrész	barri
1914	1914
birodalom	imperi
asztal	taula
tóni	toni
intézmények	institucions
világ	món
kastély	castell
érzelmek	emocions
1957	1957
kő	pedra
alkalmazott	empleat
rafael	rafael
1989	1989
kutatások	investigacions
katalónia	catalunya
imre	imre
rajzok	dibuixos
előkészítés	preparació
vénusz	venus
asszony	dona
közönség	públic
1999	1999
menekültek	refugiats
provokálni	provocar
szegények	pobres
gótikus	gòtic
erősség	fortalesa
nek	nek
vagyok	sóc
kezdetek	començaments
könyvtárak	biblioteques
betű	lletra
1893	1893
gmbh	gmbh
elmélet	teoria
1988	1988
szigetek	illes
reál	real
gyenge	feble
abd	abd
közvetlenül	directament
szerkezet	estructura
születés	naixement
kolozsvár	kolozsvár
ronda	ronda
balaton	balaton
versek	versos
csatorna	canal
kapacitás	capacitat
faktor	factor
ti	ti
távolság	distància
hatékony	eficient
vasárnap	diumenge
állandó	permanent
kereskedelem	comerç
elfoglalni	ocupar
kínai	xinès
mindig	sempre
változó	canviant
filozófia	filosofia
hitler	hitler
újságíró	periodista
színpad	escenari
kerékpár	bicicleta
márvány	marbre
ablak	finestra
mesterséges	artificial
vádlott	acusat
megoldás	solució
siga	siga
kórház	hospital
2008	2008
általában	generalment
szélsőség	extrem
hajók	vaixells
identitás	identitat
pi	pi
fényképezés	fotografia
szenátus	senat
befolyás	influència
fejezet	capítol
megoldások	solucions
alkalmazások	aplicacions
vers	vers
klub	club
egyházmegye	diòcesi
manchester	manchester
elfogadás	acceptació
fizetés	pagament
autó	cotxe
berengár	berenguer
várakozás	espera
változás	canvi
tavasz	primavera
eredmények	resultats
elismerés	reconeixement
küldött	enviat
statútum	estatut
uruguay	uruguai
atlanti	atlàntic
metró	metro
július	juliol
korszakok	èpoques
recent	recent
érkezni	arribar
igen	sí
szultán	sultà
döntések	decisions
profi	professional
eladni	vendre
fogyasztás	consum
templomok	esglésies
városháza	ajuntament
mexikói	mexicà
idegen	estranger
1955	1955
eltemetett	enterrat
változatok	variacions
józsef	josep
római	romà
szovjet	soviètic
tároló	dipòsit
tudományos	científic
népszerűség	popularitat
epizódok	episodis
gyermekkor	infància
állami	estatal
miniszter	ministre
debütálás	debut
kultúrák	cultures
használni	utilitzar
arabok	àrabs
pedagógiai	pedagògic
uns	uns
reneszánsz	renaixement
orális	oral
német	alemany
támadni	atacar
margaréta	margarida
j	j
korszak	època
toledo	toledo
veszprém	veszprém
1898	1898
ügyvéd	advocat
gáspár	gaspar
1899	1899
londoni	londinenc
művelet	operació
mértéke	mesura
1996	1996
ipar	indústria
intenzitás	intensitat
1993	1993
épületek	edificis
tanulni	aprendre
ingyenesen	gratuïtament
alá	sota
sevilla	sevilla
hírnév	fama
ágyak	llits
r	r
lenne	hauria
javak	béns
egyenlőség	igualtat
élő	viu
királyság	regne
lászló	lluís
2016	2016
játékosok	jugadors
grófság	comtat
dráma	drama
kapcsolatok	connexions
érdekek	interessos
jelentés	significat
tanácsos	conseller
tej	llet
csoportok	grups
washington	washington
ismeretlen	desconegut
ceremónia	cerimònia
upc	upc
németh	németh
sípályák	pistes
1956	1956
montserrat	montserrat
mesterek	mestres
repertórium	repertori
rendszeres	sistemàtic
2015	2015
környezet	entorn
másik	altre
fogalmak	conceptes
fém	metall
rendszer	sistema
1894	1894
apa	pare
főképpen	principalment
1882	1882
tér	plaça
mentális	mental
missziók	missions
produkció	producció
som	som
fehérje	proteïna
csillag	estrella
kapcsolat	connexió
rész	part
otp	otp
legjobbak	millors
események	esdeveniments
szent	sant
részletesen	detalladament
moderna	moderna
1942	1942
költészet	poesia
llobregat	llobregat
