планета	planeta
реформа	reforma
редакция	redacció
идентификация	identificació
доверие	confiança
оксфорд	oxford
интереси	interessos
генерали	generals
епизоди	episodis
mal	mal
напитки	begudes
проверка	comprovació
пътувания	viatges
специфична	específica
специални	especials
кръст	creu
2007	2007
ном	nom
инфант	infant
революционер	revolucionari
изход	sortida
марш	marxa
архитектура	arquitectura
сцена	escena
последица	conseqüència
density	densitat
експедиция	expedició
математика	matemàtiques
падане	caiguda
достатъчен	suficient
гражданка	ciutadana
азия	àsia
1958	1958
игра	joc
практически	pràcticament
земеделие	agricultura
двоен	doble
фактор	factor
тридесет	trenta
одобрен	aprovat
авантюра	aventura
und	und
140	140
потомци	descendents
предимства	avantatges
трудно	difícil
контрол	control
пакистан	pakistan
ски	esquís
интересен	interessant
изключително	excepcionalment
удобства	comoditats
цикъл	cicle
колумбия	colòmbia
ориенталски	oriental
вина	vinya
автоматично	automàticament
венецуела	veneçuela
суверен	sobirà
гаранция	garantia
руска	russa
венеция	venècia
карта	mapa
декември	desembre
фаза	fase
справедливо	justícia
малко	poc
териториален	territorial
контакти	contactes
жилище	habitatge
ben	ben
надежда	esperança
религиозен	religiós
различни	diferents
тони	toni
нормално	normalment
науки	ciències
нарастващ	creixent
концепт	concepte
регионален	regional
словакия	eslovàquia
тайни	secrets
граждани	ciutadans
списъци	llistes
право	dret
1947	1947
електронна	electrònica
индекс	índex
география	geografia
алфонсо	alfons
условия	condicions
2012	2012
ритъм	ritme
колония	colònia
болница	hospital
плена	plena
наука	ciència
алберто	alberto
екатерина	ekaterina
земя	terra
101	101
led	led
уважение	respecte
радио	ràdio
частично	parcialment
еволюция	evolució
публикувани	publicats
реалност	realitat
римска	romana
посещавам	visitar
век	segle
фондация	fundació
ordre	ordre
съветник	conseller
средна	mitjana
намалява	disminueix
сенат	senat
минерали	minerals
texas	texas
реформи	reformes
нинтендо	nintendo
северен	septentrional
календар	calendari
изкуство	art
империал	imperial
смартфон	smartphone
камбанария	campanar
профил	perfil
at	at
конфигурация	configuració
приятелство	amistat
пространство	espai
пена	pena
камера	càmera
галиция	galícia
1996	1996
операции	operacions
земеделски	agrícola
монета	moneda
берлин	berlín
1943	1943
pacific	pacífic
уилямс	williams
централна	central
социален	social
реп	rep
buenos	buenos
интегрирана	integrada
решение	solució
1967	1967
1970	1970
100ml	100ml
максима	màxima
езици	llengües
da	da
рафаел	rafael
1956	1956
риск	risc
часовник	rellotge
фискален	fiscal
шотландия	escòcia
покупка	compra
човешки	humà
проект	projecte
винаги	sempre
газ	gas
министерство	ministeri
диктатура	dictadura
natura	natura
референция	referència
арагон	aragó
педро	pedro
знания	coneixements
защитена	protegida
гласувам	votar
имам	imam
глобус	globus
комисия	comissió
1955	1955
опции	opcions
страници	pàgines
април	abril
ректор	rector
мл	ml
кандидат	candidat
автономия	autonomia
етнография	etnografia
1872	1872
ъгъл	angle
телевизия	televisió
динар	dinar
идеален	ideal
раковски	rakovski
баба	baba
javier	javier
избран	escollit
пабло	pablo
декларация	declaració
1881	1881
модалност	modalitat
майкрософт	microsoft
ja	ja
освобождаване	alliberament
процент	percentatge
сателит	satèl
метод	mètode
панел	panell
училища	escoles
гръцки	grec
политики	polítiques
остатъци	restes
immediately	immediatament
железница	ferrocarril
британски	britànic
автомобили	automòbils
дефиниция	definició
батерия	bateria
братя	germans
организиран	organitzat
ток	toc
упражнения	exercicis
универсален	universal
езеро	llac
маргарита	margarita
полуостров	península
откриване	descobriment
оркестър	orquestra
оригинален	original
sala	sala
тук	aquí
диаметър	diàmetre
енциклопедия	enciclopèdia
партия	partit
излъчване	emissió
доктор	doctor
2009	2009
радомир	radomir
облекло	vestit
circular	circular
комбинация	combinació
козметика	cosmètica
gel	gel
америка	amèrica
музикален	musical
разлика	diferència
мама	mama
1942	1942
кристина	cristina
книга	llibre
дон	don
италиански	italià
фурна	forn
диалог	diàleg
colspan	colspan
животни	animals
реализира	realitzar
предприятия	empreses
атака	ataca
духовен	espiritual
характер	caràcter
cent	cent
война	guerra
площад	plaça
австралия	austràlia
адреса	adreça
сирене	formatge
траектория	trajectòria
лъч	llum
сестра	germana
християнка	cristiana
авторитети	autoritats
въведение	introducció
река	riu
програмиране	programació
стефан	stefan
1972	1972
1966	1966
2015	2015
журналист	periodista
фестивал	festival
национал	nacional
следващ	següent
търговски	comercial
каролина	carolina
експанзия	expansió
jan	jan
интеграция	integració
рецепта	recepta
континент	continent
superior	superior
орган	òrgan
зъби	dents
западен	occidental
събития	esdeveniments
романски	romànic
послание	missatge
пилот	pilot
войвода	voivoda
работа	treball
есен	tardor
население	població
векове	segles
левица	esquerra
las	las
рамон	ramon
1931	1931
хипотеза	hipòtesi
малайзия	malàisia
квартал	barri
гама	gamma
вариации	variacions
търсят	busquen
част	part
мотор	motor
военен	militar
комикс	còmic
церемония	cerimònia
феномен	fenomen
пет	cinc
преминаване	trànsit
конгрес	congrés
солидарност	solidaritat
идея	idea
територии	territoris
орбита	òrbita
опция	opció
резерва	reserva
компост	compost
пустиня	desert
трудности	dificultats
вицепрезидент	vicepresident
коректен	correcte
минути	minuts
чувство	sentit
изключение	excepció
кола	cola
решения	solucions
naturals	naturals
фабрика	fàbrica
едуард	eduard
литва	lituània
1954	1954
класическа	clàssica
словения	eslovènia
фитнес	fitness
даниел	daniel
фотографии	fotografies
1902	1902
буквално	literalment
депутат	diputat
апартамент	apartament
1916	1916
командване	comandament
традиционни	tradicionals
академия	acadèmia
ситуация	situació
петрол	petroli
съпруг	cònjuge
фил	fil
затваряне	tancament
директно	directament
информационни	informacionals
санти	sants
електрически	elèctric
хем	hem
altar	altar
астурия	astúries
симон	simon
казах	kazakh
публично	públicament
флоренция	florència
малък	petit
учреждение	institució
tu	tu
душа	ànima
1969	1969
ден	dia
университет	universitat
функции	funcions
епизод	episodi
съвременна	contemporània
констант	constant
основатели	fundadors
твой	teu
цар	tsar
герой	heroi
vilafranca	vilafranca
новина	notícia
участник	participant
инженер	enginyer
параметри	paràmetres
резултат	resultat
граф	comte
традиции	tradicions
възможности	oportunitats
пътища	camins
нула	zero
вятър	vent
interior	interior
грешка	error
пътешествие	viatge
активна	activa
fi	fi
тракия	tràcia
средиземно	mediterrani
медал	medalla
самолет	avió
@	@
свещеник	sacerdot
емоции	emocions
1992	1992
фактори	factors
хотели	hotels
1903	1903
трактати	tractats
русия	rússia
1884	1884
алфред	alfred
етикета	etiqueta
twitter	twitter
пети	cinquè
сигурност	seguretat
функционери	funcionaris
катастрофа	catàstrofe
принадлежащ	pertanyent
агенти	agents
картини	pintures
тип	tipus
легло	llit
предприятие	empresa
болка	dolor
коалиция	coalició
вирус	virus
джордж	george
силна	forta
сегашно	actualment
японска	japonesa
елена	elena
manual	manual
iphone	iphone
научни	científics
sola	sola
вашингтон	washington
1938	1938
дъжд	pluja
формация	formació
любов	amor
сигнали	senyals
парламент	parlament
норвегия	noruega
дистанция	distància
обстоятелства	circumstàncies
близък	proxim
общински	comunal
англичани	anglesos
компания	companya
потребител	usuari
климат	clima
техники	tècniques
мощност	potència
приятелка	amiga
сгради	edificis
международен	internacional
специализиран	especialitzat
софтуер	programari
el	el
leader	líder
кандидатура	candidatura
зона	zona
синтез	síntesi
единици	unitats
уния	unió
ваня	vanya
2010	2010
петров	petrov
вечеря	sopar
очила	ulleres
сабадел	sabadell
бургундия	borgonya
албания	albània
бригада	brigada
първа	primera
новини	notícies
долари	dòlars
ви	vi
начало	començament
my	my
1904	1904
