dos	kettő
historiadors	történészek
tropes	tropes
bicicleta	kerékpár
pare	apa
1961	1961
ago	ago
pacients	páciensek
llop	farkas
estat	állam
poble	falu
c	c
cova	barlang
1917	1917
abans	korábban
jueu	zsidó
mòdul	modul
diumenge	vasárnap
ady	ady
restes	maradványok
mecanismes	mechanizmusok
1968	1968
jordi	jordi
1907	1907
pensar	gondolkodni
ana	ana
actualment	jelenleg
jugadors	játékosok
criteri	kritérium
gol	gól
perdut	elveszett
secret	titkos
interpretar	értelmezni
imatges	képek
romania	románia
bethlen	bethlen
adreça	címe
forma	alak
negre	fekete
setge	ostrom
revolució	forradalom
científic	tudományos
animació	animáció
pedagog	pedagógus
autopista	autópálya
deixat	hagyott
texas	texas
1904	1904
clàssic	klasszikus
abu	abu
empleat	alkalmazott
1946	1946
químic	kémikus
desaparegut	eltűnt
programació	programozás
comunitat	közösség
szeged	szeged
1999	1999
litre	liter
1881	1881
serà	lesz
1909	1909
1960	1960
eslovac	szlovák
reial	királyi
animal	állat
iraq	irak
símbol	szimbólum
caràcter	karakter
historiador	történetíró
parròquia	plébánia
acceptació	elfogadás
paisatge	tájkép
1923	1923
modern	modern
crema	krém
gabor	gábor
consens	konszenzus
apèndix	melléklet
fantàstic	fantasztikus
reconstrucció	rekonstrukció
terrassa	terasz
obres	munkák
enviat	küldött
matèria	anyag
gaspar	gáspár
senyor	úr
1893	1893
1878	1878
propietat	tulajdon
comtat	grófság
creació	létrehozás
xarxes	hálózatok
bellesa	szépség
ilona	ilona
1995	1995
dividir	osztani
valenciana	valenciai
csaba	csaba
espera	várakozás
treball	munka
garantia	garancia
testimoni	tanú
arquitecte	építész
pedagogs	pedagógusok
trobar-se	találkozni
minerals	ásványok
isbn	isbn
creu	kereszt
descripció	leírás
formació	képzés
desembre	december
victòries	győzelmek
automàticament	automatikusan
york	york
moderna	moderna
canadenca	kanadai
pablo	pablo
menú	menü
t	t
1973	1973
direcció	irány
iphone	iphone
dinastia	dinasztia
sexual	szexuális
coses	dolgok
japonès	japán
clima	klíma
multimèdia	multimédiás
mines	bányák
emir	emír
1,5	1,5
sicília	szicília
qüestió	kérdés
rus	rusz
2016	2016
positiu	pozitív
coalició	koalíció
1905	1905
empreses	vállalatok
diari	napilap
arc	arc
detallat	részletes
acceptar	elfogadni
torre	torony
forat	lyuk
reacció	reakció
alonso	alonso
1-2	1-2
començament	kezdet
gràcies	köszönöm
toni	tóni
cotxe	autó
obert	nyitott
opinió	vélemény
avaluació	értékelés
basc	baszk
tradicions	hagyományok
inversió	befektetés
còpies	másolatok
casat	házas
fugir	menekülni
fotografia	fényképezés
actiu	aktív
pitjor	rosszabb
taules	táblák
document	dokumentum
ritme	ritmus
conferència	konferencia
despeses	költségek
govern	kormány
diferències	különbségek
saló	szalon
heroi	hős
santuari	szentély
kálmán	kálmán
soldat	katona
vent	szél
g	g
1877	1877
hunyadi	hunyadi
oldid	oldid
perpinyà	perpignan
missió	misszió
nou	új
presència	jelenlét
dolor	fájdalom
legislació	törvényhozás
fundadors	alapítók
real	reál
talent	tehetség
actitud	attitűd
llegible	olvasható
steve	steve
senat	szenátus
moscú	moszkva
intensiu	intenzív
normalment	normálisan
albert	albert
detall	részlet
vilmos	vilmos
llistes	listák
compartir	megosztani
estratègic	stratégiai
persones	személyek
bar	bár
setè	hetedik
esperança	remény
recepció	recepció
xarxa	hálózat
proposar	javasolni
cavaller	lovag
participants	résztvevők
parella	pár
junta	junta
dades	adatok
oli	olaj
tron	trón
szombathely	szombathely
detalladament	részletesen
petersburg	petersburg
