schlug	colpì
kolumbien	colombia
px	px
olympisch	olimpico
erinnerungen	ricordi
poesie	poesia
quellen	sorgenti
bereich	settore
dresden	dresda
dresdner	dresdner
jimmy	jimmy
durchgang	passaggio
grafschaft	contea
phasen	fasi
mechanismus	meccanismo
projekt	progetto
leiden	soffrire
kpd	kpd
verantwortung	responsabilità
gaetano	gaetano
wiederholt	ripetuto
arrest	arresto
winter	inverno
luciano	luciano
roboter	robot
effekte	effetti
gestalt	gestalt
wesentlich	essenziale
lehrte	insegnò
gärten	giardini
ressourcen	risorse
bd	bd
washington	washington
macht	potere
juden	ebrei
leidenschaft	passione
lesen	leggere
möglicherweise	possibilmente
informatik	informatica
abendmahl	cena
extrakt	estratto
normalerweise	normalmente
fern	lontano
inspiration	ispirazione
festung	fortezza
ausgeschlossen	escluso
orientalisch	orientale
schatz	tesoro
religiös	religioso
hartmann	hartmann
göttin	dea
renato	renato
öl	olio
bewegungen	movimenti
breslau	breslavia
enrico	enrico
wissenschaftlich	scientifico
ministerium	ministero
fünfzig	cinquanta
fußballer	calciatore
dame	dama
absolut	assoluto
pine	pino
risiko	rischio
sphäre	sfera
elf	elfo
fragmente	frammenti
ring	anello
kleine	piccola
radfahrer	ciclista
willy	willy
grundsätzlich	fondamentalmente
präsenz	presenza
einiger	einiger
ferroviario	ferroviario
hauptstadt	capitale
reisen	viaggiare
manier	maniera
auflösung	dissoluzione
tugend	virtù
laura	laura
gewinnt	vince
realisierte	realizzò
identität	identità
präsentiert	presentato
eventuell	eventualmente
baseball	baseball
nämlich	cioè
dvd	dvd
vorpommern	vorpommern
minuten	minuti
kanäle	canali
oberliga	oberliga
prozesse	processi
verbindungen	connessioni
gemeinschaft	comunità
laboratorium	laboratorio
masse	massa
gewünscht	desiderato
krankheiten	malattie
sydney	sydney
verse	versi
kollegen	colleghi
portal	portale
fulda	fulda
speziell	speciale
blatt	foglia
tourismus	turismo
mangel	mancanza
indianer	indiano
ob	ob
gesellschaft	società
sterne	stelle
stein	pietra
begabt	dotato
ländlich	rurale
mercedes	mercedes
paläste	palazzi
süd	sud
um	um
herbst	autunno
gebrauch	uso
ingenieurwesen	ingegneria
bildhauer	scultore
fluss	fiume
türkisch	turco
grafen	grafene
schiedsrichter	arbitro
sopra	sopra
expedition	spedizione
valign	valign
volkszählung	censimento
vs	vs
beitrag	contributo
sequenz	sequenza
flüsse	fiumi
bruder	fratello
josé	josé
schild	scudo
bürgermeister	sindaco
diejenigen	quei
karl	carlo
sichtbar	visibile
ausgang	uscita
schöpfung	creazione
messina	messina
handel	commercio
schwarz	nero
patriarch	patriarca
hms	hms
preise	prezzi
synchronsprecher	doppiatore
enzyklopädisch	enciclopedico
indien	india
ball	pallone
zähne	denti
spricht	parla
strukturen	strutture
miami	miami
andere	altra
bochum	bochum
adolf	adolfo
css	css
cagliari	cagliari
adler	aquila
explosion	esplosione
erzdiözese	arcidiocesi
füße	piedi
senza	senza
männer	uomini
botanischer	botanico
pflanzen	piantare
ersetzen	sostituire
tiere	animali
flotte	flotta
christina	cristina
beschreiben	descrivere
urteil	giudizio
aktiv	attivo
brunnen	fontana
camillo	camillo
philosopher	filosofo
sowjetisch	sovietico
elektronik	elettronica
landwirtschaft	agricoltura
nordwestlich	nordoccidentale
typisch	tipico
missionen	missioni
verbindung	connessione
beobachtung	osservazione
verbot	divieto
parteien	partiti
wiederaufbau	ricostruzione
gekommen	venuto
gleich	uguale
bibliothek	biblioteca
enzo	enzo
materialien	materiali
kandidatur	candidatura
inseln	isole
zuschauer	spettatore
firma	firma
traditionell	tradizionale
prototyp	prototipo
holstein	holstein
pop	pop
hätte	avrebbe
kanton	cantone
